DEPTH,ROP5,AZIM_CONT_RT,SHK_ISONIC_RT,TQA,SHKTOT_RT,CRPM_RT,ARC_GR_RT,RHOB_DH_ADN_RT,SPM1,DEPT,APRS_RT,SHK_ADN_RT,STAT_ADN_RT,P40L_RT,TRPM_RT,TFLO,ADIA_ADN_RT,RPM,P40H_RT,INCL_CONT_RT,SHKPK_RT,ROP,BITRUN,SPM3,STUCK_RT,STAT_ISONIC_RT,SPPA,SHKRSK_RT,TNPH_ADN_RT,SPM2,ECD_ARC_RT,DRHO_DH_ADN_RT,HKLD,DTCO_RT,PASS_NAME,SWOB,SHK2_RT,DVER,P28H_RT,STWD_RT
224.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.5818216,,
224.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7342216,,
224.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
224.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.8866216,,
224.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0390216,,
225.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.1914216,,
225.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.3438216,,
225.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.4962216,,
225.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.6486216,,
225.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8010216,,
225.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
225.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.9534216,,
226.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
226.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.1058216,,
226.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
226.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.2582216,,
226.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
226.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.4106216,,
226.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
226.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.5630216,,
226.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
226.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7154216,,
226.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
