Depth,MWIN,HKLD_AVG,ONBOTTOM_TIME,MWINANN,WOB_MAX,SURF_REVS,WOB_MIN,BIT_RPM_MIN,STRATESUM,TBR,MROUT,FLOWIN,FLOWOUT,BIT_RPM_MAX,TORQUE_AVG,ROT_TIME,MRIN,FLOWOUTPC,PUMP_MAX,MUDRETDEPTH,MOTOR_RPM,TOTGAS_MAX,TORQUE_MAX,TOTGAS_AVG,HKLD_MAX,WOB_AVG,MWOUT,ECDBIT,TORQUE_MIN,MTIN,RigActivityCode,BIT_DIST,EditFlag,PIT_DRILL,MTOUT,PUMP_AVG,HKLD_MIN,BIT_RPM_AVG,PUMP_MIN,BITVELOCITY,Time
2576.7,0,1354259,0,0,12160.57,1743.68,-14762.43,0.832702,1.1333333,0,0,0.025103333,0.044431411,0.832702,13360.63,9275,0,0,6982286.2,0,0,0,16028.73,0,1415797,46775.57,0,0,11096.28,0,112,3231,0,51.288692,0,7026724.9,1388874,0.832702,6934343.8,-0.099900155,2013-10-25T16:38:46.000Z
2577.3,0,1354259,0,0,50621.57,1732.03,8814.218,0.832702,1.1333333,0,0,0.025103333,0.044431411,0.832702,13360.63,9263,0,0,7057501.3,0,0,0,17679.07,0,1415797,46775.57,0,0,9884.957,0,112,3231,0,51.288692,0,7026724.9,1350413,0.832702,6940857.8,-0.094529179,2013-10-25T16:38:34.000Z
2577.9,0,1326899,0,0,89082.57,2739.22,18729.49,0.83710633,1.1333333,0,0,0.025103333,0.032978929,0.83710633,13776.21,10470,0,0,6881104.4,0,0,0,15296.66,0,1335028,76770.266,0,0,11469.94,0,112,3231,0,52.100372,0,6867909.1,1311952,0.83710622,6850448.3,0.042967809,2013-10-25T16:58:41.000Z
2578.2,0,1325608.7,0,0,77544.57,2750.94,19568.98,0.83710633,1.1333333,0,0,0.025103333,0.032320322,0.83710633,14313.435,10484,0,0,6890361.2,0,0,0,15932.54,0,1331182,76424.538,0,0,10716.17,0,112,3231,0,52.116905,0,6870432.2,1323490,0.83710634,6843764.3,0.045653297,2013-10-25T16:58:55.000Z
2578.5,0,1322522.6,0,0,81390.57,2760.99,19818.93,0.83710633,1.1333333,0,0,0.025103333,0.033078086,0.83710633,11933.536,10496,0,0,6885713.1,0,0,0,14575.35,0,1331182,77506.031,0,0,9184.615,0,112,3231,0,52.115658,0,6870971.1,1319644,0.83710633,6834316.8,0.045116199,2013-10-25T16:59:07.000Z
2578.8,0,1324688.6,0,0,85236.57,2770.96,20140.01,0.81728667,1.1333333,0,0,0.025103333,0.033499072,0.83710633,14028.022,10508,0,0,6882588.8,0,0,0,16184.78,0,1335028,78541.355,0,0,12186.04,0,112,3231,0,52.124208,0,6868244.1,1315798,0.83018702,6851437.2,0.048338785,2013-10-25T16:59:19.000Z
2579.1,0,1321540.2,0,0,85236.57,2780.97,21676.25,0.81728667,1.1333333,0,0,0.025103333,0.033637115,0.83793217,13716.302,10520,0,0,6889401.3,0,0,0,14436.35,0,1335028,77285.76,0,0,13433.93,0,112,3231,0,52.123696,0,6878997.4,1315798,0.83497267,6849923.7,0.058543639,2013-10-25T16:59:31.000Z
2579.4,0,1316196.3,0,0,85236.57,2787.67,21676.25,0.826646,1.1333333,0,0,0.025103333,0.033129421,0.856926,13806.111,10528,0,0,6889401.3,0,0,0,15326.74,0,1327336,79886.339,0,0,11963.83,0,112,3231,0,52.134582,0,6871649.2,1308106,0.83663876,6855457.1,0.071971079,2013-10-25T16:59:38.000Z
2579.7,0,1325156.7,0,0,92928.57,2826,-14075.73,0.826646,1.1333333,0,0,0.025103333,0.032271372,0.8472915,12113.352,10574,0,0,6855457.1,0,0,0,15806.69,0,1365797,73577.848,0,0,8996.201,0,112,3231,0,52.150932,0,6835181,1308106,0.83451881,6785116,0.020946807,2013-10-25T17:00:25.000Z
2580,0,1331679.6,0,0,77544.57,2861.2,-9867.48,0.82389317,1.1333333,0,0,0.025103333,0.032147259,0.85059483,14036.55,10616,0,0,6843606.8,0,0,0,16800.04,0,1358105,68775.594,0,0,11637.12,0,112,3231,0,52.178565,0,6821884.9,1323490,0.83706623,6785565.9,0.0080564641,2013-10-25T17:01:07.000Z
2580.3,0,1327492.5,0,0,77544.57,2876.06,2193.133,0.82582017,1.1333333,0,0,0.025103333,0.032003069,0.82582017,14315.207,10634,0,0,6835484,0,0,0,17342.71,0,1335028,72240.521,0,0,11634.34,0,112,3231,0,52.221088,0,6813614.2,1319644,0.82569046,6787759.3,0.040819418,2013-10-25T17:01:25.000Z
2580.6,0,1324668.4,0,0,85236.57,2884.41,21134.18,0.82582017,1.1333333,0,0,0.025103333,0.032041953,0.85554967,14304.602,10646,0,0,6848049.6,0,0,0,16916.52,0,1335028,75529.482,0,0,11352.78,0,112,3231,0,52.241078,0,6826608,1315798,0.83423274,6803175.5,0.053172663,2013-10-25T17:01:37.000Z
2580.9,0,1325881.4,0,0,85236.57,2894.39,22793.22,0.83160083,1.1333333,0,0,0.025103333,0.031865856,0.83160083,13093.859,10656,0,0,6848049.6,0,0,0,16404.58,0,1327336,75215.267,0,0,10789.39,0,112,3231,0,52.238095,0,6830275.8,1323490,0.83140556,6812604.4,0.064451713,2013-10-25T17:01:47.000Z
2581.2,0,1326262.3,0,0,77544.57,2901.07,24018.66,0.8241685,1.1333333,0,0,0.025103333,0.03165964,0.85004433,11383.147,10664,0,0,6861573,0,0,0,12970.62,0,1331182,73953.586,0,0,9536.761,0,112,3231,0,52.255263,0,6838016.5,1323490,0.83380943,6824006.9,0.065525908,2013-10-25T17:01:55.000Z
2581.5,0,1325767.2,0,0,81390.57,2916,2599.265,0.8241685,1.1333333,0,0,0.025103333,0.03179687,0.8715155,14729.976,10682,0,0,6841297.2,0,0,0,16093.1,0,1358105,72155.482,0,0,10154.36,0,112,3231,0,52.25807,0,6819803.9,1319644,0.83308284,6800635.9,0.051024273,2013-10-25T17:02:13.000Z
2581.8,0,1326304.5,0,0,81390.57,2922.62,20361.7,0.82747183,1.1333333,0,0,0.025103333,0.031693118,0.82747183,13846.606,10690,0,0,6851897.4,0,0,0,15687.43,0,1331182,74321.838,0,0,11884.31,0,112,3231,0,52.258147,0,6839181.1,1319644,0.82795962,6825723.5,0.066600103,2013-10-25T17:02:21.000Z
2582.1,0,1322418,0,0,81390.57,2930.99,22661.45,0.82747183,1.1333333,0,0,0.025103333,0.031147057,0.86601017,11731.953,10700,0,0,6842118.2,0,0,0,13722.33,0,1323490,79527.396,0,0,10994.51,0,112,3231,0,52.263226,0,6827913.5,1319644,0.83569813,6816153.6,0.062303322,2013-10-25T17:02:31.000Z
2582.4,0,1326807.4,0,0,77544.57,2940.98,19779.64,0.82499433,1.1333333,0,0,0.025103333,0.03188135,0.85087,13614.578,10712,0,0,6841604.1,0,0,0,14153.02,0,1331182,75593.735,0,0,11632,0,112,3231,0,52.276288,0,6820164,1323490,0.83229287,6795730.7,0.048875882,2013-10-25T17:02:43.000Z
2582.7,0,1325991.3,0,0,77544.57,2950.88,18093.81,0.82499433,1.1333333,0,0,0.025103333,0.031510976,0.82499433,13082.842,10724,0,0,6841604.1,0,0,0,15035.45,0,1331182,73898.251,0,0,10502.64,0,112,3231,0,52.275956,0,6816108.7,1323490,0.82549816,6791316.9,0.047264589,2013-10-25T17:02:55.000Z
2583,0,1323879.3,0,0,77544.57,2960.78,20572.65,0.82499433,1.1333333,0,0,0.025103333,0.031696487,0.82499433,14589.105,10736,0,0,6832896.7,0,0,0,15944.84,0,1327336,77191.831,0,0,11372.26,0,112,3231,0,52.299989,0,6812219.1,1323490,0.82494793,6791316.9,0.055858151,2013-10-25T17:03:07.000Z
2583.3,0,1320239.7,0,0,89082.57,2967.38,22216.29,0.82499433,1.1333333,0,0,0.025103333,0.031411504,0.82499433,13354.384,10744,0,0,6837648.4,0,0,0,15944.84,0,1331182,82452.585,0,0,13002.25,0,112,3231,0,52.299339,0,6824490.5,1311952,0.82498781,6804147.8,0.064451713,2013-10-25T17:03:15.000Z
