Time,FLOWOUT,RigActivityCode,BLOCKCOMP,TRIPOUTSLIPS,STANDSTOGO,EditFlag,TRIPPULL,TRIPREAMFLAG,PIT_TRIPOUT,TRIPPVT,TRIPCFILL,JOINTSDONE,HKLD,Depth,TRIPRUN,TRIPEXPFILL,STANDSDONE,TRIPINSLIPS,INSLIPS_STATUS,TRIPEXPPVT,TRIPFILL,TRIPCEXPFILL,JOINTSTOGO,TRIPNUM,FLOWOUTPC,PIT_TRIPIN
2016-08-28T10:39:00.000Z,3.0988813E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,902,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:39:30.000Z,3.0966567E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,930,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:40:00.000Z,3.098684E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,960,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:40:30.000Z,3.0981409E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,992,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:41:00.000Z,3.0947813E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1022,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:41:30.000Z,3.0930523E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1050,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:42:00.000Z,3.0969843E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1082,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:42:30.000Z,3.0954862E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1112,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:43:00.000Z,3.0972872E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1138,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:43:30.000Z,3.0975614E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1168,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:44:00.000Z,3.09189E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1198,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:44:30.000Z,3.0945798E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1232,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:45:00.000Z,3.0985064E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1262,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:45:30.000Z,3.0958467E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1288,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:46:00.000Z,3.0958664E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1322,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:46:30.000Z,3.0972891E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1352,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:47:00.000Z,3.0971417E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1378,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:47:30.000Z,3.0973784E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1412,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:48:00.000Z,3.0940428E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1440,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:48:30.000Z,3.0970396E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1472,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:49:00.000Z,3.0961459E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1498,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:49:30.000Z,3.0979578E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1530,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:50:00.000Z,3.096539E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1558,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:50:30.000Z,3.0991871E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1592,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:51:00.000Z,3.0971258E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1620,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:51:30.000Z,3.0971619E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1650,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:52:00.000Z,3.0912424E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1682,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:52:30.000Z,3.0943796E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1712,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:53:00.000Z,3.0937923E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1738,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:53:30.000Z,3.0940298E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1772,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:54:00.000Z,3.0936768E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1800,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:54:30.000Z,3.0944753E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1828,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:55:00.000Z,3.0952747E-05,14,17.36976,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1858,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:55:30.000Z,3.098427E-05,14,16.20727,0,38,0,0,0,4.510181,4.510181,0,1,673498.3,1,0,0.005451232,1,1892,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:56:00.000Z,3.0980638E-05,14,16.0139,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1920,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:56:30.000Z,3.0947139E-05,14,16.0139,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,1948,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:57:00.000Z,3.0932132E-05,14,16.0139,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,1978,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:57:30.000Z,3.0943459E-05,14,16.0139,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,2008,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:58:00.000Z,3.0909782E-05,14,16.0139,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,2043,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:58:30.000Z,3.0944231E-05,14,16.0139,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,2069,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:59:00.000Z,3.0928096E-05,14,14.778,0,38,0,0,0,4.510181,4.510181,0,1,704267.1,1,0,0.005451232,1,2103,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T10:59:30.000Z,3.0929466E-05,14,8.613033,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,2127,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:00:00.000Z,3.0937267E-05,14,4.955771,0,38,0,0,0,4.510181,4.510181,0,1,650421.7,1,0,0.005451232,1,2159,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:00:30.000Z,3.0903793E-05,14,4.955771,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,2189,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:01:00.000Z,3.092124E-05,14,4.607144,0,38,0,0,0,4.510181,4.510181,0,1,700421,1,0,0.005451232,1,2219,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:01:30.000Z,3.0947516E-05,14,3.014065,0,38,0,0,0,4.510181,4.510181,0,1,658113.9,1,0,0.005451232,1,2249,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:02:00.000Z,3.09539E-05,14,2.211824,0,38,0,0,0,4.510181,4.510181,0,1,658113.9,1,0,0.005451232,1,2279,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:02:30.000Z,3.0919587E-05,14,2.211824,0,38,0,0,0,4.510181,4.510181,0,1,654267.8,1,0,0.005451232,1,2309,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:03:00.000Z,3.0893169E-05,14,3.439445,0,38,0,0,0,4.510181,4.510181,0,1,704267.1,1,0,0.005451232,1,2339,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:03:30.000Z,3.0966183E-05,14,6.934812,0,38,0,0,0,4.510181,4.510181,0,1,669652.3,1,0,0.005451232,1,2367,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:04:00.000Z,3.0949172E-05,14,10.51729,0,38,0,0,0,4.510181,4.510181,0,1,673498.3,1,0,0.005451232,1,2397,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:04:30.000Z,3.0953333E-05,14,10.68824,0,38,0,0,0,4.510181,4.510181,0,1,665806,1,0,0.005451232,1,2431,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:05:00.000Z,3.095711E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,715805.4,1,0,0.005451232,1,2461,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:05:30.000Z,3.0940993E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2491,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:06:00.000Z,3.0931363E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,2521,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:06:30.000Z,3.0908187E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2551,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:07:00.000Z,3.0919584E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2581,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:07:30.000Z,3.0937234E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2611,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:08:00.000Z,3.0962801E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2641,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:08:30.000Z,3.0906869E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,2671,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:09:00.000Z,3.0920077E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2701,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:09:30.000Z,3.0946936E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,2731,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:10:00.000Z,3.0933882E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2761,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:10:30.000Z,3.0954905E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,2791,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:11:00.000Z,3.094119E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,2821,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:11:30.000Z,3.099141E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2851,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:12:00.000Z,3.0901539E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2881,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:12:30.000Z,3.0925776E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2911,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:13:00.000Z,3.0910217E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,2941,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:13:30.000Z,3.0951194E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,2971,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:14:00.000Z,3.0946075E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3001,0,0.005451232,0,0,38,1,0,4.510181
